place,number,rate,park,nightlife,children,nature,sports,historic,art_science,aquatic,shows,adventure
abilene-tx,191,4.04,21.28,2.0,14.98,70.97,16.37,40.39,23.51,0.0,12.75,2.0
akron-oh,1189,4.37,36.83,15.81,45.44,31.43,62.3,124.8,92.59,0.0,24.16,26.67
alafaya-fl,3356,4.31,61.9,35.22,208.64,97.4,75.29,140.55,89.08,55.11,78.59,63.52
alameda-ca,3177,4.42,50.51,53.49,119.77,91.95,41.5,270.48,253.61,24.29,111.44,67.02
albany-ga,80,4.03,9.58,0.0,12.34,39.01,9.58,27.49,7.75,2.58,0.0,4.17
albany-ny,999,4.27,33.11,1.0,16.05,57.61,49.57,95.42,59.94,13.91,75.64,13.01
albany-or,375,4.17,36.45,0.0,31.05,37.7,16.66,32.51,17.17,18.14,9.0,13.5
alexandria-va,5008,4.59,68.6,91.94,46.76,106.76,61.88,497.25,234.59,22.36,137.84,31.53
allen-tx,3346,4.35,90.03,80.3,102.3,99.13,34.09,114.46,124.35,9.72,101.59,54.32
allentown-pa,963,4.09,80.58,2.0,76.67,58.24,23.56,132.94,57.18,22.4,30.06,46.09
alpharetta-ga,2959,4.38,85.85,52.62,94.76,189.02,82.89,197.52,167.69,19.53,243.5,39.68
amarillo-tx,500,4.11,20.94,0.0,24.69,49.53,23.36,38.31,48.57,12.17,17.09,18.47
ames-ia,638,4.25,23.55,9.4,43.59,24.43,19.04,72.54,59.75,0.0,18.09,9.3
anaheim-ca,4441,4.45,89.38,17.01,121.61,96.69,82.6,205.74,145.15,48.71,129.64,55.73
anchorage-ak,107,3.87,1.0,0.0,18.0,16.34,7.17,24.38,22.72,5.58,8.78,4.58
anderson-in,1779,4.32,72.95,43.37,41.15,61.24,126.77,161.95,119.62,30.11,89.72,12.49
ann-arbor-mi,2032,4.34,71.33,31.99,76.48,62.79,105.45,149.34,149.46,12.99,90.64,12.61
antioch-ca,1307,4.44,47.58,7.83,61.39,83.4,40.18,128.29,117.01,19.38,57.17,21.14
apple-valley-ca,1043,4.24,71.68,0.0,26.05,82.65,77.25,60.19,48.0,16.09,58.84,26.49
appleton-wi,1015,4.38,50.79,0.0,52.11,41.66,39.68,43.48,40.17,24.95,37.97,15.16
arcadia-ca,8604,4.61,86.83,58.74,147.35,73.17,105.65,276.84,278.31,39.05,220.68,50.39
arden-arcade-ca,862,4.02,37.19,33.61,63.83,89.23,45.56,145.73,92.96,15.17,62.73,18.72
arlington-heights-il,7424,4.59,57.4,79.34,109.04,98.17,117.52,285.33,339.94,35.13,313.77,44.03
arlington-va,4415,4.58,70.16,75.27,44.59,103.97,62.07,494.92,237.33,18.56,142.48,36.12
arvada-co,2556,4.39,25.46,37.03,70.42,81.78,68.18,139.8,162.37,14.97,106.18,24.18
asheville-nc,587,4.2,69.01,16.31,55.35,168.35,66.79,72.14,43.43,10.74,10.67,20.32
atascocita-tx,1571,4.36,66.76,12.49,93.44,60.74,22.79,140.45,193.47,21.13,75.38,36.02
atlanta-ga,4284,4.5,75.08,40.03,79.74,113.95,69.55,213.13,170.2,19.71,196.41,35.36
auburn-wa,3533,4.43,68.53,52.82,82.8,99.06,69.11,224.04,202.73,21.91,106.91,35.75
aurora-co,2571,4.39,36.91,21.72,68.42,102.63,70.86,126.02,138.13,20.32,74.72,15.53
aurora-il,2894,4.51,72.57,10.38,105.74,90.76,86.69,173.01,132.56,30.06,53.41,44.03
austin-tx,3293,4.52,85.52,90.25,49.88,132.49,109.08,149.69,180.85,8.46,163.8,44.2
avondale-az,2680,4.36,18.75,31.1,82.44,59.6,114.18,160.05,160.44,5.46,175.28,31.89
bakersfield-ca,445,4.21,25.7,0.0,17.37,47.07,17.0,72.73,27.82,13.47,19.59,18.14
baldwin-park-ca,8670,4.61,90.71,70.51,142.09,82.9,105.58,276.29,287.8,38.6,232.06,68.21
baltimore-md,2944,4.47,83.85,83.45,49.72,85.28,89.47,229.28,122.66,38.1,17.44,33.1
bartlett-tn,1087,4.1,34.47,43.72,47.92,51.51,25.69,195.41,103.86,9.49,39.91,15.87
baton-rouge-la,366,4.06,23.71,4.0,30.23,52.76,12.6,110.9,85.31,6.81,36.23,11.49
battle-creek-mi,1044,4.22,50.15,30.41,68.41,60.94,29.64,77.84,67.56,30.19,52.61,7.17
bayonne-nj,7244,4.61,76.18,100.61,101.87,58.14,137.16,234.66,241.41,18.88,278.27,30.43
baytown-tx,1487,4.36,67.76,12.49,99.68,69.36,12.02,133.1,188.23,23.94,68.51,35.95
beaumont-tx,161,3.76,29.5,0.0,34.53,60.21,4.17,30.85,19.09,16.89,0.0,17.3
beaverton-or,927,4.23,25.37,50.9,47.88,46.67,10.42,114.69,88.47,14.49,60.76,47.31
bellevue-ne,870,4.27,24.05,12.34,55.73,36.44,40.86,77.99,86.27,0.0,40.54,24.56
bellevue-wa,4101,4.41,89.88,52.99,70.64,131.94,90.19,222.98,252.87,34.81,96.49,52.75
bellflower-ca,8495,4.59,91.8,63.34,116.02,79.63,110.97,275.08,287.78,43.22,217.72,57.5
bellingham-wa,283,3.95,41.83,1.0,30.51,81.09,65.68,36.28,22.34,13.58,19.43,3.91
bend-or,252,4.04,14.23,20.64,17.18,53.16,16.72,29.35,11.81,9.0,16.18,4.58
berkeley-ca,2754,4.41,47.16,23.62,128.58,83.99,44.41,221.92,195.13,21.97,86.07,72.08
berwyn-il,7249,4.61,58.4,86.96,93.41,87.4,139.43,248.67,303.34,33.45,313.13,31.91
bethesda-md,5303,4.57,95.41,94.75,67.71,114.5,66.34,560.35,257.86,19.36,160.41,40.12
bethlehem-pa,1032,4.09,80.13,11.72,105.89,79.57,35.86,123.97,57.08,20.4,38.83,35.11
billings-mt,224,4.45,16.38,0.0,9.97,54.81,12.65,75.96,13.75,6.34,0.0,1.58
birmingham-al,766,4.2,25.16,6.58,45.22,101.51,53.09,154.39,116.42,8.58,33.36,16.51
bismarck-nd,78,4.14,7.64,0.0,7.75,15.72,6.64,38.14,16.25,0.0,0.0,8.08
blaine-mn,4473,4.58,64.09,20.33,105.33,62.8,118.84,90.74,170.3,9.27,149.51,33.31
bloomington-il,932,4.31,64.55,1.0,72.95,37.08,36.15,101.2,18.42,4.32,6.48,11.17
bloomington-in,745,4.15,63.08,9.13,31.87,45.26,81.04,121.11,69.25,16.89,36.04,6.32
bloomington-mn,4347,4.58,55.89,20.33,108.09,32.37,95.76,93.91,167.98,10.27,149.51,32.31
blue-springs-mo,2576,4.36,40.19,35.08,85.95,51.05,106.62,164.17,109.76,11.38,67.19,15.87
boca-raton-fl,847,4.11,60.26,13.26,78.42,80.87,31.68,87.03,113.66,40.76,9.34,9.74
boise-city-id,256,3.79,31.21,11.25,28.41,49.08,24.67,47.89,19.75,17.91,16.34,8.61
bolingbrook-il,6012,4.54,56.98,78.27,105.04,79.33,91.09,296.95,319.45,31.87,308.66,28.29
bossier-city-la,127,3.53,16.8,3.17,20.35,46.64,21.44,45.09,28.06,11.49,17.48,12.47
boston-ma,3318,4.37,45.29,32.14,37.28,69.71,55.33,225.14,134.9,26.48,84.96,12.37
boulder-co,1399,4.24,23.07,27.09,46.38,80.33,55.35,141.22,139.45,12.97,73.42,32.35
bowie-md,4844,4.56,83.97,122.67,55.92,117.11,62.33,466.15,219.84,26.18,131.14,39.51
bowling-green-ky,1505,4.51,47.35,1.0,38.55,76.68,54.28,78.31,66.22,22.33,57.0,7.98
boynton-beach-fl,929,4.12,63.82,13.26,82.24,82.48,39.17,94.2,93.16,48.16,6.34,16.65
brandon-fl,1885,4.34,54.43,16.84,108.47,51.38,68.81,156.95,127.92,33.02,154.42,28.23
brentwood-ca,1149,4.39,44.99,0.0,53.17,79.06,25.73,124.31,89.12,18.38,26.52,15.17
brentwood-ny,2313,4.36,106.95,19.55,103.43,94.04,78.23,155.06,104.25,70.27,42.39,23.63
bridgeport-ct,1567,4.16,64.61,22.87,94.6,91.92,63.63,130.26,87.15,48.0,7.17,28.48
bristol-ct,1438,4.14,53.91,21.87,65.47,70.93,68.63,150.65,133.97,43.17,24.8,30.35
brockton-ma,3696,4.31,55.6,36.64,64.32,97.55,73.62,253.71,216.23,36.49,125.86,25.13
broken-arrow-ok,557,4.18,9.58,21.07,65.5,47.93,28.52,93.26,63.42,1.0,23.2,17.85
brooklyn-park-mn,4460,4.58,68.85,20.33,105.33,62.8,118.84,90.74,170.3,9.27,149.51,33.31
broomfield-co,2560,4.38,22.66,37.03,70.42,83.0,65.59,148.9,157.73,14.97,106.18,26.18
brownsville-tx,141,4.11,7.58,8.34,11.21,35.34,3.58,31.68,10.92,16.08,0.0,1.58
bryan-tx,260,4.08,12.81,5.52,23.19,47.91,16.88,46.4,23.94,6.44,0.0,14.55
buckeye-az,2174,4.43,21.4,11.78,49.27,50.01,104.8,115.96,106.06,1.0,141.67,17.62
buena-park-ca,7468,4.55,95.16,67.87,141.16,86.46,93.7,294.38,280.26,39.44,224.93,71.43
buffalo-ny,1292,4.29,36.45,8.17,73.53,71.67,64.39,107.93,77.47,11.23,55.08,23.51
burnsville-mn,4312,4.58,55.89,20.33,99.67,32.37,95.76,93.91,167.98,10.27,149.51,33.31
camarillo-ca,1989,4.46,79.66,4.58,40.78,92.85,48.33,148.34,116.02,57.6,53.62,22.55
cambridge-ma,3646,4.31,51.32,45.33,68.58,93.97,73.0,227.54,192.03,21.22,81.07,47.41
camden-nj,3576,4.57,80.49,18.02,118.3,69.76,64.3,228.84,124.35,30.02,89.05,38.65
canton-oh,1030,4.44,38.57,1.58,54.84,35.07,66.2,97.21,33.0,6.17,4.86,18.86
cape-coral-fl,1002,4.09,47.13,0.0,76.34,63.3,30.68,56.44,54.64,35.62,33.68,16.83
carlsbad-ca,3280,4.37,45.74,54.55,134.31,63.32,68.83,192.89,193.53,72.04,176.17,28.53
carmel-in,3481,4.43,82.21,79.64,96.72,57.43,159.87,365.7,219.66,19.89,169.48,17.88
carmichael-ca,753,4.0,39.51,24.83,50.91,91.06,45.56,145.25,88.56,15.17,62.73,18.72
carrollton-tx,3594,4.35,99.35,98.5,113.0,107.96,61.89,98.37,134.74,11.72,129.46,54.32
carson-ca,8807,4.59,96.7,70.51,150.91,95.26,109.5,281.25,294.36,51.77,226.8,58.11
carson-city-nv,387,4.1,7.17,3.32,19.51,81.71,41.9,66.74,42.47,15.56,15.18,6.17
cary-nc,1691,4.32,73.34,64.85,56.29,66.18,87.77,119.59,120.01,14.91,77.51,17.64
casas-adobes-az,630,4.11,7.58,3.17,51.67,45.25,24.47,112.16,94.31,0.0,20.68,57.84
casper-wy,74,3.95,6.91,0.0,7.17,46.89,18.85,53.7,21.96,5.58,0.0,7.94
castro-valley-ca,3384,4.47,40.82,28.7,122.21,75.86,62.15,271.36,229.49,22.71,83.1,71.36
cathedral-city-ca,807,4.12,37.12,5.32,34.95,62.49,42.39,65.25,47.18,28.9,60.51,33.73
cedar-rapids-ia,402,4.1,9.56,0.0,13.83,23.14,33.12,73.94,34.53,0.0,18.73,18.38
centennial-co,2628,4.4,26.2,21.72,68.42,98.58,65.5,132.69,138.13,14.97,74.72,14.53
champaign-il,791,4.3,45.71,0.0,40.38,25.82,48.12,77.65,48.54,9.18,11.27,7.17
chandler-az,2428,4.35,21.34,25.37,68.04,53.94,107.77,158.51,160.38,5.46,159.47,34.47
chapel-hill-nc,1691,4.32,81.09,64.85,65.37,69.94,91.94,131.06,133.55,10.91,77.51,22.78
charleston-sc,780,4.07,32.33,1.0,51.63,83.52,16.31,156.04,51.94,16.17,34.16,29.29
charleston-wv,144,3.66,13.23,9.05,18.96,22.66,18.95,43.98,25.31,1.58,15.52,15.85
chattanooga-tn,1108,4.23,66.73,0.0,72.01,198.99,66.84,89.47,61.25,18.72,3.17,73.29
chesapeake-va,1176,4.28,40.22,4.17,91.17,72.56,22.04,164.44,75.98,41.27,8.16,13.49
cheyenne-wy,345,4.0,8.58,1.58,31.83,54.46,36.35,38.54,24.7,13.38,0.0,9.04
chicago-il,8810,4.61,76.32,85.72,106.6,66.45,132.97,291.82,365.44,33.54,330.56,24.72
chico-ca,402,4.36,13.39,6.89,11.1,76.38,45.47,40.82,17.96,9.17,0.0,4.58
chicopee-ma,1226,4.1,42.97,4.58,63.89,83.74,48.71,191.78,101.28,20.84,35.63,17.18
chino-ca,4450,4.52,76.26,13.2,110.31,81.21,73.52,182.9,169.59,23.22,150.04,46.72
chino-hills-ca,5314,4.49,88.31,17.01,108.59,98.14,89.27,207.32,196.39,34.75,129.64,54.95
chula-vista-ca,3170,4.35,35.16,74.92,102.01,71.56,70.34,206.14,225.84,58.33,120.99,26.11
cicero-il,7790,4.6,58.4,86.96,100.22,85.08,137.11,269.81,335.01,31.13,313.13,31.91
cincinnati-oh,2034,4.25,139.18,19.63,105.72,74.03,119.69,198.36,147.67,23.2,70.65,34.01
citrus-heights-ca,777,4.02,33.51,24.83,46.26,83.27,40.24,145.25,83.44,16.34,55.77,18.72
clarksville-tn,519,4.15,59.7,0.0,26.4,72.32,32.05,61.18,57.65,19.57,18.09,5.58
clearwater-fl,1835,4.35,69.58,24.53,99.76,52.24,59.96,127.0,104.67,47.32,144.71,11.01
cleveland-oh,2491,4.45,25.57,48.83,76.51,27.84,78.35,111.26,106.73,7.17,43.45,18.91
clifton-nj,7254,4.6,82.61,100.61,101.55,65.95,133.57,239.83,253.33,28.13,292.2,26.52
clovis-ca,514,4.21,11.73,8.34,20.04,62.23,28.51,38.6,17.8,10.75,11.67,14.04
coconut-creek-fl,1244,4.05,75.45,23.13,94.9,80.9,22.39,91.07,112.75,46.16,0.0,12.07
college-station-tx,255,4.06,12.81,5.52,23.19,48.91,14.56,48.4,19.62,6.44,0.0,14.55
colorado-springs-co,991,4.08,15.92,13.78,61.22,97.91,69.88,96.15,92.71,13.75,54.06,17.78
colton-ca,3198,4.52,70.63,5.32,85.01,71.97,84.96,132.33,72.93,22.17,116.91,46.37
columbia-md,4667,4.54,92.8,85.36,60.46,118.64,112.67,422.56,236.83,48.29,174.64,36.52
columbia-mo,143,3.8,11.51,0.0,20.14,23.08,15.47,48.8,1.0,7.17,10.92,2.0
columbia-sc,282,3.88,50.12,0.0,33.28,88.26,27.65,71.04,27.63,13.81,0.0,20.55
columbus-ga,590,4.36,37.53,0.0,56.39,71.17,27.63,137.63,57.08,4.17,0.0,16.88
columbus-oh,2342,4.43,70.58,28.14,30.1,76.45,108.81,99.04,113.33,0.0,119.42,16.05
compton-ca,8431,4.6,91.8,63.34,123.37,83.25,108.3,274.08,280.02,47.86,212.46,58.11
concord-nc,2290,4.37,66.23,92.94,89.05,121.12,102.41,173.38,190.19,20.41,153.73,42.88
conroe-tx,848,4.28,63.36,6.0,63.23,60.1,45.48,67.04,62.91,12.09,22.26,31.87
conway-ar,455,3.92,19.57,0.0,57.32,85.25,25.01,123.15,66.32,11.23,7.04,15.57
coon-rapids-mn,4417,4.59,59.92,20.33,105.33,50.29,114.67,90.74,170.3,9.27,149.51,33.31
coral-springs-fl,924,4.06,79.42,6.92,89.92,84.39,28.88,99.29,104.64,46.16,0.0,9.95
corona-ca,4434,4.54,87.12,17.01,118.32,83.65,79.93,175.5,158.07,49.54,158.93,45.5
corpus-christi-tx,305,4.06,11.61,0.0,29.18,39.37,8.79,71.58,27.63,16.49,16.0,14.72
corvallis-or,152,3.83,14.17,0.0,31.47,36.91,16.92,28.51,14.17,22.72,9.0,16.5
costa-mesa-ca,5241,4.53,107.25,17.01,115.96,88.14,75.08,197.2,197.23,58.0,158.93,54.12
council-bluffs-ia,875,4.26,19.05,12.34,53.73,34.99,40.86,73.53,82.82,0.0,40.54,21.1
cranston-ri,1624,4.14,61.77,20.56,49.52,119.28,55.3,210.42,100.53,39.97,74.92,44.97
cupertino-ca,3019,4.48,61.46,17.92,84.37,113.63,79.52,221.78,189.06,27.15,52.95,31.79
dale-city-va,3312,4.52,85.55,74.27,48.34,113.27,37.06,446.49,210.73,31.43,127.61,15.73
dallas-tx,3396,4.38,79.05,102.39,73.54,81.47,40.9,176.87,188.22,11.72,97.59,38.81
daly-city-ca,4270,4.43,57.91,66.69,135.32,97.98,58.48,291.01,272.79,28.1,128.67,79.06
danbury-ct,1719,4.15,60.56,22.87,76.52,78.29,66.44,140.0,121.08,48.42,7.17,24.57
davenport-ia,475,4.03,11.15,3.58,30.34,28.34,27.91,51.62,27.38,1.0,0.0,13.4
davie-fl,1360,4.13,74.15,43.94,93.97,90.61,27.56,115.17,144.62,55.97,33.19,25.24
davis-ca,807,4.09,23.61,16.04,54.77,70.16,32.22,135.88,73.72,16.08,55.77,12.4
dayton-oh,1069,4.2,101.84,42.05,72.41,72.33,90.31,178.58,129.35,17.55,96.62,28.61
dearborn-heights-mi,3870,4.45,79.25,62.28,92.16,92.7,138.35,200.87,234.97,12.99,207.66,41.07
dearborn-mi,3631,4.48,79.25,47.7,82.99,92.7,138.91,191.93,210.53,12.99,165.94,37.07
decatur-al,419,4.17,32.95,0.0,16.66,137.54,46.29,62.21,66.99,12.04,8.34,10.29
decatur-il,214,3.76,47.22,1.0,33.8,39.18,28.09,100.38,28.35,6.86,4.86,11.17
deerfield-beach-fl,1214,4.07,70.45,29.47,98.48,79.48,23.97,102.91,122.03,47.16,6.34,13.65
delano-ca,403,4.28,8.92,0.0,22.49,80.56,27.53,59.08,29.04,3.17,19.59,15.92
delray-beach-fl,892,4.07,61.5,16.72,73.7,82.48,48.4,87.03,97.56,46.16,10.43,13.74
deltona-fl,1483,4.2,71.66,28.62,83.74,114.1,91.02,164.36,96.08,68.28,73.78,42.67
denton-tx,2701,4.34,75.73,14.05,69.64,93.17,48.06,81.54,85.49,9.72,29.4,41.23
denver-co,3999,4.41,35.09,36.42,77.88,106.33,56.32,126.18,142.98,7.94,131.18,30.79
des-moines-ia,1150,4.32,20.99,27.69,52.55,13.66,8.32,76.81,103.91,0.0,55.52,6.13
des-plaines-il,8217,4.57,57.4,79.56,110.21,98.17,144.69,268.42,357.66,35.13,328.85,40.45
detroit-mi,3754,4.5,73.4,47.39,59.78,70.9,130.51,218.77,202.79,3.58,139.84,18.11
diamond-bar-ca,6433,4.5,107.41,50.11,128.61,87.29,104.35,255.56,257.57,29.63,200.95,59.19
dothan-al,106,3.85,9.0,0.0,13.32,53.66,10.58,39.1,20.91,11.63,0.0,9.71
dubuque-ia,398,4.17,29.16,0.0,28.26,51.69,30.88,44.03,22.7,2.0,10.0,13.09
duluth-mn,534,4.16,17.98,11.8,12.99,37.29,28.18,52.6,32.76,0.0,23.95,2.0
dundalk-md,3144,4.48,101.53,63.06,45.68,117.55,104.27,286.92,142.37,39.1,40.98,31.01
durham-nc,1719,4.32,74.92,74.57,65.89,66.77,89.35,125.08,126.64,9.91,82.37,12.0
eagan-mn,4402,4.59,62.35,20.33,99.67,49.29,103.22,98.66,169.57,10.27,149.51,33.31
east-orange-nj,7091,4.61,74.6,100.61,89.66,68.47,133.57,242.09,233.95,32.89,278.27,32.01
eau-claire-wi,307,4.34,20.15,4.46,12.66,42.42,25.99,24.71,6.34,6.81,7.62,7.49
eden-prairie-mn,4388,4.58,54.89,20.33,104.33,46.77,100.46,90.74,167.98,14.97,149.51,33.31
edinburg-tx,80,4.4,5.58,0.0,4.17,26.34,3.58,15.3,1.0,11.75,0.0,0.0
edmond-ok,619,4.27,26.62,6.78,57.44,43.7,24.52,174.37,76.66,4.58,4.0,16.85
el-cajon-ca,3593,4.37,48.12,61.3,126.63,81.28,82.8,196.16,217.06,69.62,120.99,30.76
el-paso-tx,303,4.14,12.32,5.49,18.41,55.2,39.85,48.44,36.06,0.0,1.0,10.49
elgin-il,3012,4.49,66.07,10.38,100.15,85.17,84.61,169.4,130.0,33.06,48.58,41.44
elizabeth-nj,7018,4.61,72.91,100.61,90.15,59.73,138.16,233.66,233.95,18.88,278.27,32.01
elk-grove-ca,1016,4.13,34.61,29.08,65.41,107.63,38.05,143.15,89.56,17.63,62.73,17.72
elkhart-in,641,3.94,85.53,14.55,37.8,82.52,54.98,108.7,57.93,40.32,37.52,20.91
elyria-oh,2042,4.41,42.08,47.59,97.93,33.49,58.81,126.46,102.11,0.0,74.44,27.03
encinitas-ca,3680,4.38,58.46,61.3,139.69,85.03,68.57,207.5,217.17,84.81,142.23,39.53
enterprise-nv,12971,4.16,12.89,135.59,77.07,63.52,35.89,145.1,160.04,15.51,43.63,95.44
erie-pa,955,4.42,15.4,0.0,30.04,25.46,47.68,39.74,13.53,3.58,17.5,3.0
escondido-ca,3701,4.39,47.5,61.3,147.06,65.94,65.24,210.09,203.52,63.09,112.05,31.62
evanston-il,7494,4.6,53.81,67.51,94.78,96.06,137.52,235.34,275.97,31.55,309.65,32.69
evansville-in,298,4.04,43.23,4.81,32.93,61.62,39.57,56.13,28.28,28.35,14.47,9.41
everett-wa,2992,4.43,55.16,70.14,66.43,98.22,90.44,164.95,142.38,9.39,94.49,8.16
fairfield-ca,1331,4.32,40.48,0.0,61.54,80.52,33.39,124.48,82.24,21.88,59.68,10.77
fall-river-ma,1456,4.08,52.84,17.56,58.28,124.02,61.66,220.29,85.25,40.93,62.5,39.05
fargo-nd,151,3.61,2.81,0.0,9.23,5.81,10.23,34.12,27.77,0.0,16.85,6.64
farmington-hills-mi,3753,4.46,79.25,55.87,79.87,92.7,152.45,212.61,207.49,12.99,169.75,38.07
fayetteville-nc,937,4.26,71.58,12.97,60.22,67.28,63.76,69.02,9.14,14.91,0.0,22.45
federal-way-wa,3516,4.44,67.06,53.82,85.39,110.58,73.05,231.72,211.9,21.64,106.91,35.75
fishers-in,3176,4.4,87.66,75.03,86.05,58.07,154.01,348.27,196.89,19.89,169.48,17.88
flint-mi,1014,4.34,58.34,4.58,43.46,56.81,57.32,60.23,51.53,24.8,21.82,12.8
florence-graham-ca,8607,4.59,90.62,70.51,134.01,84.45,100.63,286.59,299.7,44.51,226.8,54.94
florissant-mo,2514,4.48,32.41,26.01,120.49,59.19,60.2,131.24,128.7,2.0,67.74,44.66
folsom-ca,778,4.01,28.34,33.61,44.68,72.34,35.65,141.08,75.32,12.75,55.77,18.72
fontana-ca,3762,4.55,89.31,5.32,106.89,74.08,85.18,132.72,90.7,32.43,121.8,45.66
fort-collins-co,560,4.03,14.25,6.81,35.0,75.99,52.59,32.56,39.63,15.97,12.11,24.02
fort-lauderdale-fl,1271,4.14,56.54,56.83,64.13,73.61,22.07,79.32,129.26,36.44,50.5,18.33
fort-myers-fl,895,4.18,54.64,0.0,85.39,58.42,32.01,51.27,49.64,36.32,3.17,15.83
fort-smith-ar,284,3.92,9.58,1.0,36.04,68.07,15.34,63.45,27.18,2.58,13.04,8.13
fort-wayne-in,1195,4.31,51.98,0.0,44.99,35.46,35.18,175.37,81.26,8.44,41.55,10.42
fort-worth-tx,2768,4.37,86.45,26.55,68.01,104.99,64.05,131.13,132.78,12.04,57.79,41.13
fountain-valley-ca,6112,4.53,107.35,32.41,122.18,82.38,85.92,270.8,253.23,50.94,184.36,52.73
fountainebleau-fl,1449,4.12,83.64,37.02,119.88,102.14,38.82,123.24,132.03,69.72,33.19,29.99
framingham-ma,3941,4.31,54.51,45.68,61.59,99.39,76.36,263.76,198.03,19.11,95.0,27.0
franklin-tn,3008,4.4,50.65,44.83,56.74,120.17,103.74,288.18,211.8,20.09,129.52,22.5
frederick-md,858,4.3,88.12,0.0,33.38,92.12,31.02,168.67,41.94,26.62,27.52,12.31
fremont-ca,3388,4.54,36.82,19.13,65.13,99.95,64.98,212.81,224.39,22.25,77.1,41.16
fresno-ca,224,4.26,10.15,8.34,16.46,57.06,28.51,24.32,9.04,9.75,11.67,14.04
frisco-tx,3514,4.37,85.12,79.3,102.3,95.96,41.04,116.1,138.89,9.72,101.59,52.32
fullerton-ca,7510,4.56,94.53,60.7,128.69,92.79,103.35,294.34,259.77,38.83,203.28,67.85
gainesville-fl,496,4.18,73.52,0.0,57.17,139.33,52.48,84.35,37.84,55.51,10.57,13.26
garden-grove-ca,6323,4.52,106.28,46.15,111.8,96.22,79.33,281.99,260.33,41.33,191.23,68.93
gardena-ca,8699,4.59,97.58,63.34,166.39,97.53,106.54,272.91,279.36,49.15,212.46,57.26
